method,mean_position_window_rmse_m,median_position_window_rmse_m,p95_position_window_rmse_m,p99_position_window_rmse_m,position_failure_rate_pct,mean_acceleration_window_rmse,p95_acceleration_window_rmse
Pre-conditioning GRU--RK4 + physics,19.942182641351046,11.939640522003174,53.61877155303955,72.64336738586425,55.989232839838486,5.6029769920544705,13.165378570556642
Conditioned generalized GRU--RK4 + physics,14.854118738970236,9.55831241607666,38.86141777038574,62.13143634796145,48.31763122476447,3.352062102051234,10.076163053512573
Last acceleration,7.088122261645496,4.5562756061553955,27.105409622192383,47.24587497711183,16.55450874831763,0.5839253704979875,5.733648657798767
